accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
MW684115	Uncultured bacterium clone GH18-7 GH18 gene, complete cds.	uncultured bacterium	77133	1;131567;2;48479;77133				rumen	true	Ovis aries	9940																					
MW684114	Uncultured bacterium clone GH18-4 GH18 gene, complete cds.	uncultured bacterium	77133	1;131567;2;48479;77133				rumen	true	Ovis aries	9940																					
AB301434	Bacillus sp. GH18 rpoB gene for RNA polymerase beta subunit, partial cds, strain: GH18.	Bacillus sp. GH18	439185	1;131567;2;1783272;1239;91061;1385;186817;1386;185979;439185					false												GH18											
FJ609197	Paramyxovirus bat/GH18/2008 polymerase (L) gene, partial cds.	Paramyxovirus bat/GH18/2008	589520	1;10239;2559587;2732396;2497569;2497570;2497574;11157;11158;336871;589520	Ghana				false	Eidolon helvum	77214						2008	2008-01-01	2008-12-31	BatPV/Eid.helv./GH18/2008												
OP730335	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia9) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
OP730337	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia11) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
OP730338	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia12) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
OM115996	Giardia intestinalis assemblage B isolate GH18 beta-giardin gene, partial cds.	Giardia duodenalis assemblage B	1394984	1;131567;2759;2611341;207245;5738;5739;68459;5740;5741;1394984	Iran				false	Homo sapiens	9606									GH18												
OP730333	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia7) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
KT921884	Serratia marcescens clone H1q_3 GH18 chitinase-like superfamily protein gene, complete cds.	Serratia marcescens	615	1;131567;2;3379134;1224;1236;91347;1903411;613;615					false												H1q											
