family,value,count
GH18,Ovis aries,5
GH18,Homo sapiens,3
GH18,Eidolon helvum,2
GH18,yak,2
GH18,Pacifastacus leniusculus,2
GH18,Querqus infectoria,1
GH18,buffalo,1
GH19,Homo sapiens,5
GH19,Solanum lycopersicum,5
GH19,Querqus infectoria,1
GH19,Hipposideros sp.,1
GH19,Hipposideros ruber,1
GH19,Eidolon helvum,1
GH19,Zea mays subsp. mays,1
GH23,Homo sapiens,4
GH23,Querqus infectoria,1
GH48,forest,2
GH48,Reinhardtius hippoglossoides,1
GH48,Batocera horsfieldi,1
GH48,Eidolon helvum,1
GH48,Gossypium hirsutum,1
GH48,Oryza sativa,1
GH75,Homo sapiens,2
GH75,Theobroma cacao,1
GH80,Homo sapiens,2
