family,value,count
GH18,soil,29
GH18,rumen,8
GH18,Qaidam water system,2
GH18,Zagros forests,1
GH18,GaHai salt lake,1
GH18,Huaihe River,1
GH18,GSL pigmented lake water 3,1
GH19,foliage,5
GH19,plasma,2
GH19,Qaidam water system,2
GH19,marine sediment,1
GH19,Zagros forests,1
GH19,serum from a 33-year-old male patient,1
GH19,soil,1
GH19,Huaihe River,1
GH19,"Halite, pigmented, site 1",1
GH23,Qaidam water system,2
GH23,plasma,2
GH23,Huaihe River,1
GH23,serum from a 16-year-old female patient,1
GH23,"Halite, pigmented, sites 3,4",1
GH23,Zagros forests,1
GH48,cow rumen,455
GH48,arable soil,31
GH48,forest soil,2
GH48,"Halite, non-pigmented, Site 7",1
GH48,gut,1
GH48,compost,1
GH75,soil,11
GH75,plasma,2
GH75,leaf,1
GH80,plasma,2
GH80,Halite Environmental Control,1
