accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
KU355892	Gymnocypris potanini microsatellite GH80 sequence.	Gymnocypris potanini	263516	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263516					false																							
PQ732404	Uncultured Halobaculum sp. clone GH80 16S ribosomal RNA gene, partial sequence.	uncultured Halobaculum sp.	1682348	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;43927;1682347;1682348				Halite Environmental Control	true																							
ON863387	HIV-1 strain GH80 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH80											
AY397241	HIV-1 strain S|GH80 from Ghana pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396853	HIV-1 strain S|GH80 clone 2 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396842	HIV-1 strain S|GH80 clone 7 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396848	HIV-1 strain S|GH80 clone 11 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
ON863419	HIV-1 strain GH80 from Ghana integrase (pol) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana			plasma	false	Homo sapiens	9606						2017	2017-01-01	2017-12-31		GH80											
AY396846	HIV-1 strain S|GH80 clone 6 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
EU098769	Gossypium herbaceum isolate GH80 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	Gossypium herbaceum	34274	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91836;41938;3629;214907;3633;34274					false											GH80												
EF544557	Sigaus australis isolate GH80 cytochrome oxidase subunit I (COI) gene, partial cds mitochondrial.	Sigaus australis	461299	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33341;6993;7001;1955150;70910;92621;7002;109883;461298;461299					false											GH80							AWCMEE GH80					
AY396850	HIV-1 strain S|GH80 clone 9 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396844	HIV-1 strain S|GH80 clone 3 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396851	HIV-1 strain S|GH80 clone 4 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396847	HIV-1 strain S|GH80 clone 1 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396843	HIV-1 strain S|GH80 clone 8 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396845	HIV-1 strain S|GH80 clone 10 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396941	HIV-1 strain S|GH80 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY397580	HIV-1 strain S|GH80 from Ghana envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396852	HIV-1 strain S|GH80 clone 12 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
AY396849	HIV-1 strain S|GH80 clone 5 from Ghana gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH80											
