	ENA|OQ831739|OQ831739.1 Achaetomium aegilopis isolate GH19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	ENA|OL772741|OL772741.1 Colletotrichum fructicola isolate GH19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	ENA|MN267651|MN267651.1 Gymnocypris eckloni isolate GH19 cytochrome b gene, partial cds; mitochondrial.	ENA|ON315729|ON315729.1 Hemiculter leucisculus isolate GH19 cytochrome b (cytb) gene, partial cds; mitochondrial.	ENA|MK568234|MK568234.1 Clavibacter michiganensis subsp. michiganensis strain gh19 recombinase A (recA) gene, partial cds.	ENA|MN064559|MN064559.1 Stylosanthes guianensis glycoside hydrolase family 19-1 (GH19-1) mRNA, complete cds.	ENA|MN971588|MN971588.1 Ipomoea batatas cultivar Nanjing92 GH19 family class II acidic chitinase mRNA, complete cds.	ENA|DQ191179|DQ191179.1 Lysobacter yangpyeongensis strain GH19-3 16S ribosomal RNA gene, partial sequence.	ENA|AB301019|AB301019.1 Bacillus pumilus gene for 16S rRNA, partial sequence, strain: GH19.	ENA|MW674692|MW674692.1 Halorubrum sp. strain GH19 16S ribosomal RNA gene, partial sequence.	ENA|KY016743|KY016743.1 Tetragnatha sp. GH19-GH27 isolate ARAGH000019 18S ribosomal RNA gene, partial sequence.	ENA|ON863362|ON863362.1 HIV-1 strain GH19 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397205|AY397205.1 HIV-1 strain S|GH19 from Ghana pol protein (pol) gene, partial cds.	ENA|EF100837|EF100837.1 Ailuropoda melanoleuca haplotype GH19 control region, partial sequence; mitochondrial.	ENA|KC875428|KC875428.1 Sus scrofa voucher GH19 control region, partial sequence; mitochondrial.	ENA|HQ694616|HQ694616.1 Carassius gibelio haplotype GH19 D-loop, partial sequence; mitochondrial.	ENA|MN267597|MN267597.1 Gymnocypris eckloni isolate GH19 D-loop, partial sequence; mitochondrial.	ENA|HQ660154|HQ660154.1 Bat Paramyxovirus Hip_spec/GH19-T/GHA/2009 isolate BatPV/Hip_spec/GH19-T/GHA/2009 RNA-dependent RNA polymerase (L) gene, partial cds.	ENA|HQ660153|HQ660153.1 Bat Paramyxovirus Hip_rub/GH19-140/GHA/2009 isolate BatPV/Hip_rub/GH19-140/GHA/2009 RNA-dependent RNA polymerase (L) gene, partial cds.	ENA|KY017958|KY017958.1 Tetragnatha sp. GH19-GH27 isolate ARAGH000019 cytchrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	ENA|OR668305|OR668305.1 Hynobius unisacculus isolate GH19 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	ENA|HQ730799|HQ730799.1 Styela clava haplotype GH19 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	ENA|MK568138|MK568138.1 Clavibacter michiganensis subsp. michiganensis strain gh19 F0F1 ATP synthase subunit beta (atpD) gene, partial cds.	ENA|MK568170|MK568170.1 UNVERIFIED: Clavibacter michiganensis subsp. michiganensis strain gh19 DNA gyrase subunit B-like (gyrB) gene, partial sequence.	ENA|MK568202|MK568202.1 UNVERIFIED: Clavibacter michiganensis subsp. michiganensis strain gh19 polyphosphate kinase-like (ppk) gene, partial sequence.	ENA|ON863398|ON863398.1 HIV-1 strain GH19 from Ghana integrase (pol) gene, partial cds.	ENA|OL854162|OL854162.1 Colletotrichum fructicola isolate GH19 chitin synthase (CHS-1) gene, partial cds.	ENA|JQ741997|JQ741997.1 Uncultured bacterium clone GH19 glycosyl hydrolase family 48 (GHF48) gene, partial cds.	ENA|FJ971954|FJ971954.1 Paramyxovirus bat/GH19/2009 polymerase (L) gene, partial cds.	ENA|KY016151|KY016151.1 Tetragnatha sp. GH19-GH27 isolate ARAGH000019 16S ribosomal RNA gene, partial sequence; mitochondrial.	ENA|JX845698|JX845698.1 Gambusia holbrooki clone Gh19 microsatellite sequence.	ENA|KY018459|KY018459.1 Tetragnatha sp. GH19-GH27 isolate ARAGH000019 histone H3 (H3) gene, partial cds.	ENA|AY397532|AY397532.1 HIV-1 strain S|GH19 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|OM115982|OM115982.1 Giardia intestinalis assemblage AII isolate GH19 triosephosphate isomerase gene, partial cds.	ENA|HX871796|HX871796.1 Hevea brasiliensis mRNA, clone: Hebr-GH19, 5' end sequence, expressed in latex.	ENA|EU723658|EU723658.1 Gracilibacillus halotolerans isolate Gh19 16S ribosomal RNA gene, partial sequence; 16S-23S internal transcribed spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence.	ENA|OM116011|OM116011.1 Giardia intestinalis assemblage AII isolate GH19 glutamate dehydrogenase gene, partial cds.	ENA|LC571610|LC571610.1 Lysobacter sp. MK9-1 Chi19MK gene for GH19 chitinase, complete cds.	ENA|OP730330|OP730330.1 Plasmodiophora brassicae isolate ZJ-1 GH19 chitinase (Chia4) mRNA, complete cds.	ENA|EU098615|EU098615.1 Gossypium herbaceum isolate GH19 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	ENA|AY396878|AY396878.1 HIV-1 strain S|GH19 from Ghana gag protein (gag) gene, partial cds.	ENA|AB301460|AB301460.1 Bacillus sp. GH19 fus gene for elongation factor G, partial cds, strain: GH19.	ENA|AB301435|AB301435.1 Bacillus sp. GH19 rpoB gene for RNA polymerase beta subunit, partial cds, strain: GH19.	ENA|OL854151|OL854151.1 Colletotrichum fructicola isolate GH19 calmodulin (CAL) gene, partial cds.	ENA|OL854190|OL854190.1 Colletotrichum fructicola isolate GH19 beta-tubulin 2 (tub2) gene, partial cds.	ENA|KJ699341|KJ699341.1 Maize streak virus isolate MSV-A_GH-gh19-For-2010, complete genome.	ENA|AB986079|AB986079.1 Orthohepevirus A gene for capsid protein, partial cds, isolate: GH19-Nep14.	ENA|OM100936|OM100936.1 Colletotrichum fructicola isolate GH19 mating type protein 1-2-1 (Mat-1-2-1) gene, partial cds; and MAT-1-2-1-Apn2 intergenic spacer, partial sequence.
ENA|OQ831739|OQ831739.1 Achaetomium aegilopis isolate GH19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	0	0.475450985745895	0.775780163696727	0.780496195971899	0.828136951724056	0.834009565724253	0.823994411187295	0.82747781588594	0.820049157157691	0.841263588827702	0.854094615332692	0.866885836588609	0.8676312375458	0.84444074320012	0.861891607371335	0.864139046929485	0.8568066567545	0.888390493061151	0.885863061216969	0.871734268524896	0.868489207919997	0.857167919433096	0.837846498451171	0.829645519671919	0.827170191868511	0.876620256355222	0.833171505322616	0.848036016563562	0.862662185627507	0.88000612180301	0.903753388007704	0.832632758738431	0.869608478266304	0.841108011237061	0.869055882089885	0.864349332146117	0.848952719956018	0.861640436855329	0.848036016563562	0.866025403784439	0.848528137423857	0.835767588918455	0.868519003543141	0.863025653157714	0.85485041426511	0.843872746402686	0.861949967503261	0.864931246172816
ENA|OL772741|OL772741.1 Colletotrichum fructicola isolate GH19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	0.475450985745895	0	0.781800213121543	0.784109819964601	0.851092811836038	0.83742166531404	0.83742166531404	0.833364958286698	0.822308017831808	0.843597322019097	0.864963447034545	0.853531267734229	0.858665734303581	0.83580759633156	0.869090990021281	0.843409868442128	0.854493259282208	0.878659781003255	0.872519525615699	0.853724870111064	0.847068930604751	0.832893731244052	0.854638826353549	0.859337848847319	0.844627514724262	0.876294290056314	0.820149827720712	0.849718577324175	0.853950097623256	0.850142007562152	0.882098624139576	0.825087407957018	0.862783065917546	0.842796776622477	0.863915716354034	0.847186100476314	0.844461221192756	0.866546321367653	0.870451235062632	0.87148934066119	0.859633985039734	0.838318422663953	0.87565584731634	0.857189632927069	0.866025403784439	0.844391135607011	0.867897893330058	0.85501282528857
ENA|MN267651|MN267651.1 Gymnocypris eckloni isolate GH19 cytochrome b gene, partial cds; mitochondrial.	0.775780163696727	0.781800213121543	0	0.454209540087289	0.853665589836708	0.852565150333385	0.841930272971861	0.85967982075992	0.859797846268876	0.861284607628156	0.858395075278952	0.858211480992759	0.8521539348031	0.833333333333333	0.839000338872072	0.837379734216866	0.845154254728517	0.860274492337222	0.866546321367653	0.85036166231593	0.864769383683605	0.857262695361848	0.874746926965061	0.848307826336819	0.854597612126131	0.844951068223662	0.856193745062217	0.842586854060204	0.837529886439649	0.82977381867828	0.844781858035078	0.874033423977315	0.831718866205062	0.870610006512382	0.865846528350581	0.872538848310977	0.870388279778489	0.870274123009715	0.866964184985587	0.846433822841583	0.84565568120676	0.859184162384703	0.857267832408833	0.868899162725891	0.86038348441828	0.869058777008055	0.856841417760529	0.863348348217781
ENA|ON315729|ON315729.1 Hemiculter leucisculus isolate GH19 cytochrome b (cytb) gene, partial cds; mitochondrial.	0.780496195971899	0.784109819964601	0.454209540087289	0	0.847716628232204	0.848257172020996	0.838236627056555	0.855603539186195	0.857394168441083	0.85538480715806	0.858984970028641	0.851088156820345	0.842578867568504	0.835183132131828	0.827232570375584	0.843115278887754	0.845154254728517	0.869665274419236	0.865504172678669	0.849634546610231	0.857701681188188	0.852355598980903	0.868942304612302	0.85160650823007	0.854597612126131	0.85485041426511	0.865450162668969	0.835147182908871	0.838977648775956	0.838198134340669	0.859002597525215	0.856986714895976	0.855092273207357	0.852123611738067	0.872262934563673	0.862497790735947	0.874248113701004	0.872445250021865	0.880578783762934	0.836142451460395	0.843899385061291	0.850397533901196	0.858797303441825	0.868899162725891	0.85702259858637	0.864203012518961	0.859790966647774	0.859933707507975
ENA|MK568234|MK568234.1 Clavibacter michiganensis subsp. michiganensis strain gh19 recombinase A (recA) gene, partial cds.	0.828136951724056	0.851092811836038	0.853665589836708	0.847716628232204	0	0.816910520919299	0.8055250688528	0.861891607371335	0.859950201340678	0.837181797727002	0.863397096042456	0.87563614641421	0.880436133535476	0.871128720813951	0.864196414617635	0.866025403784439	0.861118704783965	0.897078224219824	0.891176329723602	0.886571052117468	0.877058019307029	0.885472583798108	0.810533563132741	0.790727829914949	0.809427213400379	0.886405260427918	0.8448133979876	0.863418196451712	0.881598088628496	0.897378661178469	0.867068180084855	0.844590630621329	0.858618819600562	0.835235923328881	0.871779788708135	0.88816380890932	0.821375391795113	0.809938269252664	0.827871210686159	0.873589088036728	0.879827474873437	0.854089339023627	0.842927230423525	0.822296223650416	0.856348838577675	0.862554346113913	0.830876242258279	0.871779788708135
ENA|MN064559|MN064559.1 Stylosanthes guianensis glycoside hydrolase family 19-1 (GH19-1) mRNA, complete cds.	0.834009565724253	0.83742166531404	0.852565150333385	0.848257172020996	0.816910520919299	0	0.590181842097478	0.863179436824975	0.862504674500125	0.854617985316508	0.861432946265297	0.849935929404806	0.845498442995576	0.851309484416898	0.85657913274308	0.850230301897704	0.84297453141009	0.862316498502576	0.858058119397361	0.872496418330757	0.877135221720744	0.869205284627934	0.854436275969865	0.847062054570847	0.861146348600437	0.86126553345819	0.863145364535271	0.853181564337796	0.848874687627165	0.849140853525077	0.841955396021006	0.853152303202082	0.865507910219387	0.847318545736323	0.853001723502659	0.839799474812134	0.862616800269821	0.860206578179252	0.844984015175026	0.843502665202609	0.850719532938867	0.861640436855329	0.843377785597205	0.855847512255905	0.849216040364099	0.875717436699137	0.844510491079387	0.867871762977241
ENA|MN971588|MN971588.1 Ipomoea batatas cultivar Nanjing92 GH19 family class II acidic chitinase mRNA, complete cds.	0.823994411187295	0.83742166531404	0.841930272971861	0.838236627056555	0.8055250688528	0.590181842097478	0	0.852917235819982	0.855065546144878	0.855001044276722	0.864697482629492	0.856263001977592	0.851290993888285	0.851216564725216	0.869151346496323	0.864622932574646	0.847365172152412	0.869436515382526	0.867338957404177	0.872940614506907	0.873589088036728	0.868228100187881	0.836163933975466	0.844026630137315	0.835455909776936	0.859107732168228	0.860834395556837	0.865139444060154	0.874065368058878	0.855800424279623	0.859950201340678	0.860804046550304	0.867576032427712	0.838307870012974	0.837866458345363	0.841755002016973	0.838870492807861	0.867318945063676	0.853343263971966	0.832753421409702	0.864724087641687	0.856348838577675	0.833989243181698	0.846618571601372	0.853822730305566	0.866025403784439	0.844510491079387	0.857777354866242
ENA|DQ191179|DQ191179.1 Lysobacter yangpyeongensis strain GH19-3 16S ribosomal RNA gene, partial sequence.	0.82747781588594	0.833364958286698	0.85967982075992	0.855603539186195	0.861891607371335	0.863179436824975	0.852917235819982	0	0.462803768160644	0.631776567230289	0.737443778488925	0.838290577566618	0.827640881769065	0.840453540265141	0.844980336781469	0.838926378387538	0.837707816583391	0.850769959395326	0.840634680861233	0.838985163096526	0.848874687627165	0.840789614495621	0.8606156753507	0.846859915908007	0.855780402512	0.852600691600306	0.850260973433288	0.859797846268876	0.84871468862704	0.86639259710337	0.863622157198274	0.880140833801014	0.840573439125759	0.855725099681116	0.844378527851223	0.850624565912354	0.872278375988647	0.863360703917618	0.866478701592911	0.865005950336555	0.861838310422493	0.868694209506216	0.846114112226649	0.865586576594477	0.844633197801843	0.873002064280416	0.856027084353063	0.857534753615582
ENA|AB301019|AB301019.1 Bacillus pumilus gene for 16S rRNA, partial sequence, strain: GH19.	0.820049157157691	0.822308017831808	0.859797846268876	0.857394168441083	0.859950201340678	0.862504674500125	0.855065546144878	0.462803768160644	0	0.631888561474145	0.730045911547372	0.841805700045154	0.828441783997937	0.850531748566242	0.858583906461866	0.838926378387538	0.840951841665146	0.863538011178154	0.850149014044189	0.858116330321033	0.859633985039734	0.854410768886572	0.863165653310502	0.848051837561784	0.857200785900207	0.858123043874473	0.834057656228299	0.858622766284357	0.87020453726435	0.86639259710337	0.865680854177094	0.869090990021281	0.846140240972498	0.856348838577675	0.8415928830585	0.852207124612452	0.869180333736759	0.857829131538328	0.857599660927659	0.864317602075582	0.862749424560392	0.855896103236183	0.845154254728517	0.863381045233385	0.86222457690563	0.869261793334194	0.855161937330101	0.849276982876041
ENA|MW674692|MW674692.1 Halorubrum sp. strain GH19 16S ribosomal RNA gene, partial sequence.	0.841263588827702	0.843597322019097	0.861284607628156	0.85538480715806	0.837181797727002	0.854617985316508	0.855001044276722	0.631776567230289	0.631888561474145	0	0.711858392150795	0.861012190007779	0.846494706411009	0.841415252111328	0.838238135499792	0.867559550963555	0.870729541614687	0.863694240999374	0.862526296934317	0.851865996313784	0.850409831252919	0.856786085906946	0.848476559869336	0.833367276973328	0.846801730472787	0.857698974022969	0.84842653553911	0.859897131593702	0.865636266310834	0.873011075299682	0.869718492622904	0.870571500132014	0.857097068374046	0.841130192063036	0.861434249096959	0.846836155406455	0.862370170210748	0.852286484590704	0.856857510341318	0.859905006217727	0.860456050815273	0.860173813771955	0.86066296582387	0.859970836266147	0.85679321696631	0.868974362792043	0.852072413155287	0.856746955214048
