columnId	description	type
accession	accession number	text
agricola_id	Agricola ID	text
altitude	Altitude (m)	number
assembly_accession	Assembly accession linked to the record	text
base_count	number of base pairs	number
bio_material	identifier for biological material including institute and collection code	text
cell_line	cell line from which the sample was obtained	text
cell_type	cell type from which the sample was obtained	text
collected_by	name of the person who collected the specimen	text
collection_date	Time when specimen was collected	date
collection_date_end	Time when specimen was collected	date
collection_date_start	Time when specimen was collected	date
country	locality of sample isolation: country names, oceans or seas, followed by regions and localities	text
cultivar	cultivar (cultivated variety) of plant from which sample was obtained	text
culture_collection	identifier for the sample culture including institute and collection code	text
dataclass	sequence data class	controlled value
description	brief sequence description	text
dev_stage	sample obtained from an organism in a specific developmental stage	text
doi	Digital object identifier	text
ecotype	a population within a given species displaying traits that reflect adaptation to a local habitat	text
environmental_sample	identifies sequences derived by direct molecular isolation from an environmental DNA sample	boolean
first_public	date when made public	date
germline	the sample is an unrearranged molecule that was inherited from the parental germline	boolean
haplotype	combination of alleles that are linked together on the same physical chromosome	text
host	natural (as opposed to laboratory) host to the organism from which sample was obtained	text
host_tax_id	NCBI taxon id of the host	number
identified_by	name of the taxonomist who identified the specimen	text
indexed_date	date when record was indexed for presentation	date
isolate	individual isolate from which sample was obtained	text
isolation_source	describes the physical, environmental and/or local geographical source of the sample	text
keywords	keywords associated with sequence	text
lab_host	scientific name of the laboratory host used to propagate the source organism for the sample	text
last_updated	date when last updated	date
location	geographic location of isolation of the sample	latlon
mating_type	mating type of the organism from which the sequence was obtained	text
metagenome_source	Indicate that the assembly is derived from a metagenomic source, rather than from an isolated organism	text
mol_type	in vivo molecule type of the sequence	controlled value
organelle	membrane-bound intracellular structure from which the sequence was obtained	controlled value
patent_number	Patent Number	text
plasmid	name of naturally occurring plasmid from which the sequence was obtained	text
pubmed_id	PubMed ID	text
run_accession	run accession number	text
sample_accession	sample accession number	text
scientific_name	scientific name of an organism	text
secondary_sample_accession	secondary sample accession number	text
sequence_accession	Sequence accessions linked to the record	text
sequence_md5	MD5 checksum of sequence	text
sequence_version	Version of the sequence	number
serotype	serological variety of a species characterized by its antigenic properties	text
serovar	serological variety of a species (usually a prokaryote) characterized by its antigenic properties	text
sex	sex of the organism from which the sample was obtained	controlled value
specimen_voucher	identifier for the sample culture including institute and collection code	text
status	Status	number
strain	strain from which sample was obtained	text
study_accession	study accession number	text
sub_species	name of sub-species of organism from which sample was obtained	text
sub_strain	name or identifier of a genetically or otherwise modified strain from which sample was obtained	text
tag	Classification Tags	controlled value
tax_division	taxonomic division	controlled value
tax_id	NCBI taxonomic classification	taxonomy
tax_lineage	Complete taxonomic lineage for an organism	text
tissue_lib	tissue library from which sample was obtained	text
tissue_type	tissue type from which the sample was obtained	text
topology	sequence topology: circular or linear	controlled value
variety	variety (varietas, a formal Linnaean rank) of organism from which sample was derived	text
