	ENA|ON863365|ON863365.1 HIV-1 strain GH23 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397202|AY397202.1 HIV-1 strain S|GH23 from Ghana pol protein (pol) gene, partial cds.	ENA|ON315733|ON315733.1 Hemiculter leucisculus isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	ENA|MN267655|MN267655.1 Gymnocypris eckloni isolate GH23 cytochrome b gene, partial cds; mitochondrial.	ENA|PP440131|PP440131.1 Hynobius yiwuensis isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	ENA|PP434675|PP434675.1 Hynobius yiwuensis isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	ENA|OR668309|OR668309.1 Hynobius unisacculus isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	ENA|HQ730803|HQ730803.1 Styela clava haplotype GH23 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	ENA|AY397535|AY397535.1 HIV-1 strain S|GH23 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|ON863401|ON863401.1 HIV-1 strain GH23 from Ghana integrase (pol) gene, partial cds.	ENA|MN267601|MN267601.1 Gymnocypris eckloni isolate GH23 D-loop, partial sequence; mitochondrial.	ENA|HQ694619|HQ694619.1 Carassius gibelio haplotype GH23 D-loop, partial sequence; mitochondrial.	ENA|EU098622|EU098622.1 Gossypium herbaceum isolate GH23 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	ENA|AY396883|AY396883.1 HIV-1 strain S|GH23 from Ghana gag protein (gag) gene, partial cds.	ENA|EF100841|EF100841.1 Ailuropoda melanoleuca haplotype GH23 control region, partial sequence; mitochondrial.	ENA|AB986081|AB986081.1 Orthohepevirus A gene for capsid protein, partial cds, isolate: GH23-Nep14.	ENA|HX871799|HX871799.1 Hevea brasiliensis mRNA, clone: Hebr-GH23, 5' end sequence, expressed in latex.	ENA|PQ732355|PQ732355.1 Uncultured Halobaculum sp. clone GH23 16S ribosomal RNA gene, partial sequence.	ENA|OM115976|OM115976.1 Giardia intestinalis assemblage AII isolate GH23 triosephosphate isomerase gene, partial cds.	ENA|KR053130|KR053130.1 Pseudo-nitzschia pungens isolate GH23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence.	ENA|OQ831743|OQ831743.1 Seimatosporium pezizoides isolate GH23 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	ENA|JX845700|JX845700.1 Gambusia holbrooki clone Gh23 microsatellite sequence.
ENA|ON863365|ON863365.1 HIV-1 strain GH23 from Ghana pol protein (pol) gene, partial cds.	0	0.27050089040023	0.845681213683215	0.846691055329466	0.838440897607461	0.806299078078161	0.811449754590728	0.815454466168748	0.783953655092782	0.829013604300928	0.833763329921975	0.834057656228299	0.865702440728723	0.81713026094622	0.851737970690208	0.851233769584644	0.854684742367924	0.811035004039763	0.82738368269459	0.828453621952797	0.842770175917788	0.840356746219391
ENA|AY397202|AY397202.1 HIV-1 strain S|GH23 from Ghana pol protein (pol) gene, partial cds.	0.27050089040023	0	0.840961648855262	0.832336173162406	0.822367715680652	0.801889022700855	0.806500141274697	0.811968001462022	0.789786285166832	0.834847109936722	0.837159972815042	0.837930581596392	0.855026605482865	0.81319759135197	0.858018833720102	0.851205555787551	0.853563956930837	0.820995218726194	0.84025992728847	0.822349677938622	0.845917029481908	0.844354045376238
ENA|ON315733|ON315733.1 Hemiculter leucisculus isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	0.845681213683215	0.840961648855262	0	0.459141384336906	0.519015782481667	0.766787430102348	0.779035654976162	0.810702125797168	0.846901044579793	0.841233361688963	0.81495805199165	0.796223142006077	0.841361471544528	0.840979415212759	0.835247146224152	0.819056940240899	0.83275523174913	0.83740361432108	0.849280045535441	0.831241300180257	0.841436430858311	0.824250758554155
ENA|MN267655|MN267655.1 Gymnocypris eckloni isolate GH23 cytochrome b gene, partial cds; mitochondrial.	0.846691055329466	0.832336173162406	0.459141384336906	0	0.523889277030022	0.766787430102348	0.767890078340509	0.807617642352865	0.857019695585049	0.844124206503327	0.814033538872717	0.808152242988219	0.835001883225025	0.839254327416282	0.837130456723923	0.822118846022231	0.829417521998121	0.852139119415471	0.858003620485344	0.85031292473468	0.848213209549911	0.818053296508701
ENA|PP440131|PP440131.1 Hynobius yiwuensis isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	0.838440897607461	0.822367715680652	0.519015782481667	0.523889277030022	0	0.756147643823122	0.773482942325793	0.793064781142238	0.8304547985374	0.835774799499119	0.807532311263729	0.787157687430151	0.848930092982841	0.829485772771493	0.830623299056236	0.831236893953431	0.838965232261866	0.856994652273219	0.849280045535441	0.831241300180257	0.851581375850046	0.831932665116313
ENA|PP434675|PP434675.1 Hynobius yiwuensis isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	0.806299078078161	0.801889022700855	0.766787430102348	0.766787430102348	0.756147643823122	0	0.336787657027282	0.597060701672352	0.817642541605252	0.826860506274778	0.796655773559489	0.788997183956566	0.834584802106721	0.82915619758885	0.840819091235473	0.823825542569641	0.830550910429225	0.84682067945811	0.873191469901364	0.841427358718505	0.869324560126823	0.862472984575637
ENA|OR668309|OR668309.1 Hynobius unisacculus isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	0.811449754590728	0.806500141274697	0.779035654976162	0.767890078340509	0.773482942325793	0.336787657027282	0	0.60690235187879	0.828557744824063	0.828951711697067	0.816496580927726	0.801192744802153	0.835665777785306	0.809640904752736	0.834152602743061	0.825068958499642	0.839022462101283	0.828155002378541	0.856255263880507	0.841244499353373	0.853599718036785	0.857969178415583
ENA|HQ730803|HQ730803.1 Styela clava haplotype GH23 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	0.815454466168748	0.811968001462022	0.810702125797168	0.807617642352865	0.793064781142238	0.597060701672352	0.60690235187879	0	0.818839474067529	0.831647539924228	0.816839574675653	0.811191153849018	0.840819091235473	0.81583357100846	0.828480493623967	0.830237941294236	0.832280619683249	0.833045927450209	0.873128250130799	0.847958272928803	0.844267884002507	0.869538705852482
ENA|AY397535|AY397535.1 HIV-1 strain S|GH23 from Ghana envelope glycoprotein (env) gene, partial cds.	0.783953655092782	0.789786285166832	0.846901044579793	0.857019695585049	0.8304547985374	0.817642541605252	0.828557744824063	0.818839474067529	0	0.711038823256817	0.793581118957862	0.806335338705448	0.838558413000629	0.80363756341608	0.837489635093407	0.849337415755085	0.837275897082349	0.861602041897894	0.829807998803876	0.85081172830123	0.804141224873241	0.848528137423857
ENA|ON863401|ON863401.1 HIV-1 strain GH23 from Ghana integrase (pol) gene, partial cds.	0.829013604300928	0.834847109936722	0.841233361688963	0.844124206503327	0.835774799499119	0.826860506274778	0.828951711697067	0.831647539924228	0.711038823256817	0	0.83278022718665	0.817014498252834	0.855911367878077	0.828565251610004	0.824496525491736	0.880415967104343	0.854170504498538	0.83017419207609	0.847047099775253	0.840168050416806	0.845154254728517	0.854668486036696
