	ENA|KP748818|KP748818.1 UNVERIFIED: Uncultured fungus clone DE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748817|KP748817.1 UNVERIFIED: Uncultured fungus clone RE4 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748819|KP748819.1 UNVERIFIED: Uncultured fungus clone MV1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748812|KP748812.1 UNVERIFIED: Uncultured fungus clone DE2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748814|KP748814.1 UNVERIFIED: Uncultured fungus clone DE3 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|ON863385|ON863385.1 HIV-1 strain GH75 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397209|AY397209.1 HIV-1 strain S|GH75 from Ghana pol protein (pol) gene, partial cds.	ENA|KX592575|KX592575.1 Cacao swollen shoot virus isolate GH75, complete genome.	ENA|EU098763|EU098763.1 Gossypium herbaceum isolate GH75 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	ENA|KP748816|KP748816.1 UNVERIFIED: Uncultured fungus clone OR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748815|KP748815.1 UNVERIFIED: Uncultured fungus clone OR2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|AY397578|AY397578.1 HIV-1 strain S|GH75 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|KP748813|KP748813.1 UNVERIFIED: Uncultured fungus clone TW2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748822|KP748822.1 UNVERIFIED: Uncultured fungus clone RE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|ON863417|ON863417.1 HIV-1 strain GH75 from Ghana integrase (pol) gene, partial cds.	ENA|KP748820|KP748820.1 UNVERIFIED: Uncultured fungus clone NR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748821|KP748821.1 UNVERIFIED: Uncultured fungus clone TW1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|AY856671|AY856671.1 Hepatitis B virus isolate GH75 surface antigen (S) gene, partial cds.	ENA|AY396936|AY396936.1 HIV-1 strain S|GH75 from Ghana gag protein (gag) gene, partial cds.	ENA|MZ158321|MZ158321.1 Gomphidius roseus voucher GH75-11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	ENA|KU355887|KU355887.1 Gymnocypris potanini microsatellite GH75 sequence.
ENA|KP748818|KP748818.1 UNVERIFIED: Uncultured fungus clone DE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0	0.659665446602232	0.655421593166362	0.793761805246516	0.770752493308062	0.845635686983298	0.848998068783269	0.851024338219786	0.839413714812538	0.831096654718653	0.781189100190479	0.841276695786374	0.835629021796733	0.808239304905303	0.844182254113956	0.827170191868511	0.80636481523355	0.834795695180095	0.86646400872711	0.854914140115157	0.863158440217002
ENA|KP748817|KP748817.1 UNVERIFIED: Uncultured fungus clone RE4 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.659665446602232	0	0.695772189678007	0.822207952969664	0.788954358370519	0.861963201972727	0.860003562152309	0.854951287522204	0.84916926191081	0.835710894037345	0.801314709186032	0.873751028734761	0.827374979210259	0.832916562447884	0.859781447770906	0.843197876515078	0.860073268621494	0.832380407540412	0.873362904388985	0.873973562091007	0.867866054965685
ENA|KP748819|KP748819.1 UNVERIFIED: Uncultured fungus clone MV1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.655421593166362	0.695772189678007	0	0.800355792768312	0.803431792688493	0.83155839344097	0.825820076400769	0.844207656423572	0.848708732964355	0.836333397582907	0.815374248327211	0.842637036167524	0.8496063711599	0.839799474812134	0.856210304428329	0.852419324649536	0.795822425754221	0.812187861770303	0.846065800118109	0.83561092263989	0.878595370213959
ENA|KP748812|KP748812.1 UNVERIFIED: Uncultured fungus clone DE2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.793761805246516	0.822207952969664	0.800355792768312	0	0.437237316097603	0.853460638652068	0.8460704113712	0.879049072991533	0.854452161080549	0.750634249584807	0.757366530098674	0.84276173965322	0.821822772960854	0.845946215784432	0.847531627229881	0.861938427677607	0.828155002378541	0.834243366919633	0.858304369400823	0.851315849704555	0.86047551880742
ENA|KP748814|KP748814.1 UNVERIFIED: Uncultured fungus clone DE3 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.770752493308062	0.788954358370519	0.803431792688493	0.437237316097603	0	0.868850942788413	0.866729203497333	0.84300646407792	0.827170191868511	0.726387080663453	0.763488423529998	0.841380289809078	0.756845779522211	0.824501640789771	0.811428272605878	0.815475321515005	0.827515926551056	0.825452935678109	0.85146931829632	0.831156577329836	0.848414263956603
ENA|ON863385|ON863385.1 HIV-1 strain GH75 from Ghana pol protein (pol) gene, partial cds.	0.845635686983298	0.861963201972727	0.83155839344097	0.853460638652068	0.868850942788413	0	0.21039390096048	0.805438367888571	0.771321404383905	0.84300646407792	0.865299785388258	0.809571124364873	0.865826842414459	0.870751948159681	0.825787431866766	0.862358377840087	0.841406323823342	0.870429238263243	0.844162289298975	0.866025403784439	0.828416869579514
ENA|AY397209|AY397209.1 HIV-1 strain S|GH75 from Ghana pol protein (pol) gene, partial cds.	0.848998068783269	0.860003562152309	0.825820076400769	0.8460704113712	0.866729203497333	0.21039390096048	0	0.761911067366967	0.763288081691424	0.843872746402686	0.863133825081603	0.814432110921262	0.869117257259889	0.864305391354126	0.801874072655779	0.857878229225906	0.844031622944883	0.86838836971469	0.848114523878724	0.866944263887765	0.816905544930794
ENA|KX592575|KX592575.1 Cacao swollen shoot virus isolate GH75, complete genome.	0.851024338219786	0.854951287522204	0.844207656423572	0.879049072991533	0.84300646407792	0.805438367888571	0.761911067366967	0	0.709326902131909	0.841625411530173	0.826845493056445	0.820045039980012	0.868699703728355	0.862363546351508	0.818696396088822	0.840062917706588	0.835013596549193	0.869226987360353	0.844888441149139	0.858530915196766	0.833645025641597
ENA|EU098763|EU098763.1 Gossypium herbaceum isolate GH75 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	0.839413714812538	0.84916926191081	0.848708732964355	0.854452161080549	0.827170191868511	0.771321404383905	0.763288081691424	0.709326902131909	0	0.827515926551056	0.862948927262691	0.829702233998107	0.861891607371335	0.843490017626804	0.819060155778602	0.851827304151235	0.849528170932281	0.85	0.857218922533888	0.865710885741095	0.840386815698581
ENA|KP748816|KP748816.1 UNVERIFIED: Uncultured fungus clone OR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.831096654718653	0.835710894037345	0.836333397582907	0.750634249584807	0.726387080663453	0.84300646407792	0.843872746402686	0.841625411530173	0.827515926551056	0	0.789753974479512	0.84816729193128	0.756878009726825	0.842130437325114	0.819630936333465	0.827989740461365	0.827884809878141	0.824744230464984	0.840348479507347	0.836660026534076	0.85146931829632
